Nom,URL,Région,Taille,Poids,Poil,Robe,Tête,Yeux,Oreilles,Queue,Caractère,Silhouette,Utilisation,Other names,Origin,United Kennel Club,RSCFRCE,Notes,Breed status,Height,Weight,Coat,Color,Litter size,Espèce,Colour,Clube Português de Canicultura,Fédération Cynologique Internationale,CMKU,Distribution,Kennel Club of Greece,Diffusion,Nom scientifique,Země původu,Hmotnost,Výška*,Barva,Skupina FCI,Sekce FCI,Podsekce FCI,FCI,Common nicknames,Cynological Federation of Georgia,Région d'élevage,New Zealand Kennel Club,Morphologie,Foundation stock,American Kennel Club,China Kennel Union,Pieds,Real Sociedad Canina de España,Toison,Govern Illes Balears,"Ministerio de Agricultura, Pesca y Alimentación",Ente Nazionale della Cinofilia Italiana
Lévrier greyhound,https://fr.wikipedia.org/wiki/L%C3%A9vrier_greyhound,Angleterre,"M 71-76 cm, F 68-71 cm",,"Fin, serré","Noir, blanc, rouge, bleu, fauve, bringé","Longue, modérément large","Brillants, ovales, de préférence foncés","Petites, en rose, fines","Longue, attachée bas, s'amenuisant vers l'extrémité, légèrement incurvée","Intelligent, doux, affectueux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffon Fauve de Bretagne,https://fr.wikipedia.org/wiki/Griffon_fauve_de_Bretagne,BRETAGNE Bretagne,48 à 56 cm .,,"Très dur, sec, assez court.",Fauve unicolore.,"Crâne plutôt allongé avec protubérance occipitale marquée, stop peu accusé, museau effilé.",De couleur marron foncé.,"Attachées finement au niveau de la ligne de l’œil, atteint à peine l’extrémité de la truffe, terminées en pointe.","Portée légèrement en faucille, de moyenne longueur, grosse à la base, souvent espiée et s’effilant bien à la pointe.","Passionné de chasse, doux, sociable, affectueux et équilibré.",Chien de type griffon de taille moyenne et de construction osseuse.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffon bleu de Gascogne,https://fr.wikipedia.org/wiki/Griffon_bleu_de_Gascogne,France,"50 à 57 cm (M), 48 à 55 cm (F).",,"Dur, rêche et hirsute.","Moucheté noir et blanc, avec grandes taches noires.","Crâne légèrement bombé, protubérance occipitale légèrement marquée, stop peu accentué.","Ovales, châtain foncé.","Souples, papillotées sans excès, atteignent la naissance de la truffe.","Assez poilue, atteint la pointe du jarret, portée en lame de sabre.",Éveillé et affectueux.,Chien de type griffon de taille moyenne et de construction solide.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korthals,https://fr.wikipedia.org/wiki/Griffon_d%27arr%C3%AAt_%C3%A0_poil_dur_Korthals,France,"55 à 60 cm (M), 50 à 55 cm (F)",,Dur et grossier avec un sous-poil duveteux.,"Gris acier avec des taches marron, marron rubican ou rouan. Blanc et marron, blanc et orange.","Moustaches, barbe et sourcils prononcés.","Jaune foncé à bruns, de forme ronde.","De taille moyenne, tombantes.","Portée horizontalement, souvent écourtée","Doux, fier, attaché à son maître.",Chien d'arrêt de taille moyenne dont le corps s'inscrit dans un rectangle.,"Chien de chasse , Chien de compagnie , Chien de garde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffon nivernais,https://fr.wikipedia.org/wiki/Griffon_nivernais,France,"55 à 62 cm (M), 53 à 60 cm (F).",,"Long, hirsute, broussaillant et rêche.",Fauve charbonné dans toutes ses nuances.,"Très sèche, légère sans être petite, un peu longue.","De couleur foncée, surmontés de sourcils.","Longues, tombantes, légèrement tournées vers l’intérieur à leur extrémité.","De longueur moyenne, portée horizontale au repos, en sabre en action.",Courageux et obstiné.,"Griffon de taille moyenne, d'allure rustique et robuste et de construction sèche.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand bouvier suisse,https://fr.wikipedia.org/wiki/Grand_bouvier_suisse,Suisse,Chien de grande taille.,,poil de couverture serré et sous-poil dense de couleur,tricolore,large et plate,en amande,triangulaires,assez lourde,voir texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien courant de Halden,https://fr.wikipedia.org/wiki/Chien_courant_de_Halden,Norvège,"52 à 60 cm (M), 50 à 58 cm (F).",,"Rude, très serré et droit, avec un sous-poil épais.","Blanc marqué de noir, plages feu ombrées sur la tête, aux membres et parfois entre le blanc et le noir.","Sèche, de grandeur moyenne, bien équilibrée.","Brun foncé, de grandeur moyenne.","Tombantes, atteignent le milieu du museau.","Plutôt épaisse, atteignant approximativement le jarret. Elle est portée plutôt bas.",,"Chien courant de taille moyenne, inscriptible dans un rectangle.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamiltonstövare,https://fr.wikipedia.org/wiki/Chien_courant_de_Hamilton,Suède,"53 à 61 cm (M), 49 à 57 cm (F).",,"Rude, pas trop court, bien couché sur le corps.",Tricolore.,"Plutôt longue, crâne légèrement bombé, stop bien défini.",De couleur brun foncé.,"Tombantes, plutôt courtes.","Attachée dans la ligne du dos, portée droite ou légèrement recourbée en sabre, atteint le jarret.","Amical, caractère égal.","Chien courant de taille moyenne, bien proportionné, donnant une impression de force et de vigueur.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien de rouge du Hanovre,https://fr.wikipedia.org/wiki/Chien_de_recherche_au_sang_de_Hanovre,Allemagne,"50 à 55 cm (M), 48 à 53 cm (F).",,"Court, épais, serré et rêche.",rouge-cerf clair à foncé,"Large, babines légèrement débordante, front souvent ridé.","Vifs et ouverts, de couleur marron foncé.","De longueur moyenne, attachées hautes et larges, pendantes, extrémité arrondie.","Longue, légèrement incurvée, attachée haut.","Calme et équilibré. Attaché à son maître, distant avec les étrangers","Chien courant de taille moyenne, d'aspect robuste et puissant.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrier,https://fr.wikipedia.org/wiki/Harrier_(chien),Royaume-Uni,48 à 55 cm .,,Court et lisse.,"Blanc et noir, blanc et orange, tricolore.","Moyennement large, avec un crâne plat et un museau assez long et plutôt pointu.","De couleur foncée, pas trop ronds.","En forme de V, atteint le bord des lèvres.","De longueur moyenne, légèrement espiée.","Intelligent, affectueux et obstiné.","Chien de taille moyenne, d'allure forte et légère.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien courant grec,https://fr.wikipedia.org/wiki/Chien_courant_grec,Grèce,"47 à 55 cm (M), 45 à 53 cm (F).",19 à 22 kg .,"Ras, dense, un peu dur, bien uni et adhérent au corps",Noir et feu.,"Longue, crâne légèrement plat, stop peu prononcé.","De grandeur moyenne, de couleur marron.","Tombantes, de longueur moyenne, attachées haut, arrondies à l’extrémité inférieure.","Attachée bas, légèrement courbe, descend jusqu’aux jarrets.",Actif et joyeux.,"Chien courant de taille moyenne, d'allure forte et vigoureuse.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaïdo,https://fr.wikipedia.org/wiki/Hokka%C3%AFdo_(chien),Japon,"48,5 - 51,5 cm (M), 45,5 - 48,5 cm (F).","Environ 17 kg pour une femelle, 20 kg pour un mâle.","Poil de couverture rude et droit, sous-poil doux et dense.","Rouge, sésame, noire et feu, bringé, noire ou blanche.",,"Relativement petits, de forme presque triangulaire, bien écartés et de couleur brun foncé.","Petites, triangulaires, légèrement inclinées vers l’avant et fermement dressées.",Enroulée ou recourbée.,"Courageux, fidèle et obéissant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger hollandais,https://fr.wikipedia.org/wiki/Berger_hollandais,Pays-Bas,57 à 62 cm (mâle) 55 à 60 cm (femelle),28 kg environ(mâle) [ 1 ] 23 kg environ (femelle) [ 1 ],"court, long, dur",Bringé sur fond doré ou argenté,,"De couleur sombre, grandeur moyenne et en forme d'amandes et légèrement obliques.","De taille moyenne, en action elles sont dressées bien hautes.","Au repos, elle pend droit, ou en formant une légère courbe. Elle atteint la pointe du jarret. En action, elle est portée élégamment relevée. Elle n'est jamais enroulée ni portée de côté.","Fidèle, Intelligent, Vigilant, Indépendant, Travailleur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smous des Pays-Bas,https://fr.wikipedia.org/wiki/Smous_des_Pays-Bas,Pays-Bas,"37 à 42 cm (M), 35 à 40 cm (F).",9 à 10 kg .,"Long, grossier, rude, dur, droit, d’un aspect hirsute. Il ne forme pas de raie.",Jaune unicolore dans toutes ses nuances.,"Crâne légèrement bombé, museau court, truffe large et noire.","Grands, ronds et de couleur foncée","Attachées haut, de petite taille, tombantes, forme triangulaire arrondie à l'extrémité.","Courte, portée gaiement.","Affectueux, gai, ni peureux, ni nerveux.","Chien de petite taille, inscrit dans un carré.",Chien de compagnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hovawart,https://fr.wikipedia.org/wiki/Hovawart,Allemagne,mâles: 64-70 cm femelles: 58-65 cm,,Long,"Noir et feu, noir, blond","Tête forte avec un front large et bombé, stop bien marqué","Marron foncé à moyen; de forme ovale, ni saillants ni enfoncés dans les orbites","Triangulaires, attachées haut et bien écartées, tombent souplement le long des joues","Dépasse la pointe du jarret, sans toutefois atteindre le sol; selon l'humeur du chien, elle pend ou elle est portée relevée sur le dos","Chien d'utilité polyvalent, bien équilibré et gentil de nature, doté d'un bon instinct de protection et de combat",mâles: 40 kg femelles: 30 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger croate,https://fr.wikipedia.org/wiki/Berger_croate,Croatie,40 à 50 cm.,,Ondulé et mi-long,Noire,"Relativement légère, en forme de coin","Châtain à noirs, de grandeur moyenne, en forme d’amande, avec une expression vive.","Oreilles triangulaires, droites ou mi-droites, de longueur moyenne et attachées quelque peu sur le côté.",La queue est attachée modérément haut avec un poil long,Voir ci-contre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger de Russie méridionale,https://fr.wikipedia.org/wiki/Berger_de_Russie_m%C3%A9ridionale,Ukraine,62 à 72,,"long (10-15 cm), grossier, épais, touffu et légèrement ondulé","blanche, blanche et jaune, grisâtre ou blanche marquée de gris","de forme allongée, stop peu accentué, grande truffe noire","ovales, placés horizontalement, foncés","relativement petites, de forme triangulaire, pendantes",,"vif, fier, méfiant, obéissant",27 à 42 kg (indicatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntaway,https://en.wikipedia.org/wiki/Huntaway,,,,,,,,,,,,,New Zealand Huntaway New Zealand Sheepdog,New Zealand,,,,,56–66 centimetres (22–26 in),25–40 kilograms (55–88 lb),smooth or rough (grizzled),"variable, commonly black and tan, tricolour",,,,,,,,,,,,,,,,,,,,,,standard,,,,,,,,,,
Setter irlandais rouge et blanc,https://fr.wikipedia.org/wiki/Setter_irlandais_rouge_et_blanc,Irlande,"62 à 66 cm (M), 57 à 61 cm (F)",,"Long, lisse et plat sur l'arrière des membres, l'oreille, le flanc et la poitrine. Court ailleurs.",Blanche et rouge.,"Crâne bombé, stop évident.","De forme ovale, couleur marron foncé.","Tombantes, placées en retrait.","Forte à la base, elle s'affine progressivement à l'extrémité. Bien frangée.","Amical, docile, courageux et déterminé.",Chien d'arrêt d'aspect athlétique et puissant.,"Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setter irlandais,https://fr.wikipedia.org/wiki/Setter_irlandais_rouge,Irlande,"58 à 67 cm (M), 55 à 62 cm (F).",,"Poil long et lisse, avec sous-poil.",Uniformément châtaigne.,"Fine, stop peu marqué.",De couleur marron foncé.,"Tombantes, attachées bas et en arrière de la tête.",Longue et bien frangée.,"Actif, enjoué, affectueux.",Chien d'arrêt de construction légère et athlétique.,"Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrier irlandais à poil doux,https://fr.wikipedia.org/wiki/Terrier_irlandais_%C3%A0_poil_doux,Irlande,"46 à 48 cm (M), femelle plus petite.","18 à 20,5 kg (M), femelle plus légère.","Long, doux, soyeux, sans sous-poil.",Froment.,"Longue, bien proportionnée, crâne plat et pas trop large, stop marqué.","Pas trop grands, de couleur noisette foncé.","De taille petite à moyenne, portées vers l'avant.","Bien attachée, portée gaiement jamais sur le dos. Peut être coupée aux deux tiers de sa longueur.","Intrépide, affectueux et fidèle.","Chien de terrier de taille moyenne à grande, d'aspect rustique et actif.",Chien de compagnie .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrier irlandais,https://fr.wikipedia.org/wiki/Terrier_irlandais,Irlande,Environ 45 cm,"12,25 kg chez le mâle, 11,4 kg chez la femelle","Dense et dur, texture « fil de fer », d'aspect brisé, couché à plat. Poils de la face courts hormis légère barbe.","Robe unicolore, rouge, froment rouge ou rouge jaune.","Longue, exempte de rides. Crâne plat et plutôt étroit entre les oreilles. Stop à peine visible, sauf de profil.","De couleur foncée, petits, non proéminents et pleins de vie, de feu et d'intelligence. L’œil jaune ou clair est un défaut grave.","Petites, en forme de « V », d'épaisseur modérée, bien attachées sur la tête et tombant en avant contre les joues.","Attachée assez haut, portée gaiement, mais pas sur le dos ni enroulée. La coutume est de couper la queue de façon à laisser deux tiers de sa longueur d’origine.","Fidèle, affectueux, courageux.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Épagneul d'eau irlandais,https://fr.wikipedia.org/wiki/%C3%89pagneul_d%27eau_irlandais,Irlande,"53 à 59 cm pour les mâles, 51 à 56 cm pour les femelles",,Long et bouclé,Marron puce uniforme,,"Petits, en forme d'amande, de couleur ambre foncé à noisette foncé",Tombantes,"Bouclée sur 7,5 à 10 cm, puis lisse à l'extrémité","Dynamique, fidèle, réservé avec les étrangers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lévrier irlandais,https://fr.wikipedia.org/wiki/Irish_wolfhound,Irlande,"Minimale : 81,5 à 94 cm au garrot pour les mâles, pour un poids de 55 à 85 kg : 71 à 81 cm au garrot pour les femelles, pour un poids de 50 à 70 kg. poil= rêche, dur et plutôt court. robe=Gris, bringé, rouge, noir, blanc ou daim.",,,,"la tête est longue et plate, avec un crâne pas trop large, un museau long et légèrement pointu.","Les yeux sont petits foncés, au regard doux.",les oreilles sont petites portées en forme de rose.,"la queue est longue, attachée très bas et elle descend presque jusqu'au sol.","c'est un chien au bon caractère qui ne réagit que s'il est provoqué. Avant d'attaquer, il prévient en aboyant. Il est très doux avec les enfants qu'il aime et qu'il défend. Son caractère est très équilibré, il est calme mais aussi capable de se remémorer son passé de combattant et de devenir vraiment terrible s'il doit défendre son maître.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berger islandais,https://fr.wikipedia.org/wiki/Chien_de_berger_islandais,Islande,"Taille idéale : 46 cm (M), 42 cm (F).",Entre 12/20 kg,Deux variétés : une à poil court et une à poil long.,"Fauve, marron, gris, noir. Avec blanc.",De forme triangulaire.,"De taille moyenne, en forme d’amande, brun foncé.","Dressées et de taille moyenne, de forme triangulaire.","Attachée haut, enroulée sur le dos.","Joyeux, amical, curieux et sans peur.",,Chien de berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien courant d'Istrie à poil ras,https://fr.wikipedia.org/wiki/Chien_courant_d%27Istrie_%C3%A0_poil_ras,Croatie,44 à 56 cm .,Environ 20 kg pour le mâle.,"Ras, fin, dense et luisant.",Blanc pur et orange ou entièrement blanche.,"Longue, étroite et sèche.","Ovales, de couleur foncée.","Tombantes, mi-longues à longues, attachée large au-dessus de la ligne de l’œil.","Fine, portée en sabre.","Doux, docile, calme et très attaché à son maître.","Chien courant de taille moyenne, d'allure noble.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Russell,https://fr.wikipedia.org/wiki/Jack_Russell_terrier,Angleterre,25 à 30 cm,5 à 10 kg,"Lisse, rude ou fil de fer","Majoritairement blanche, avec des marques marron ou noires","Le crâne doit être plat, d'une largeur modérée, il diminue graduellement de largeur vers les yeux et jusqu'au large museau, stop bien défini mais pas trop prononcé",Noirs ou marron foncé,En bouton ou retombantes,Naturelle ou coupée (aux deux tiers),"Vif, éveillé et actif à l'expression ardente et intelligente. Hardi et sans peur, amical mais sûr de lui : quand il veut, il fait.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petite taille, corps robuste, musclé et long",,,,,,,,,
Terrier de chasse allemand,https://fr.wikipedia.org/wiki/Terrier_de_chasse_allemand,Allemagne,33-40 cm,"M 9-10 kg, F 7,5-8,5 kg","rude,droit,dense et dur,ou poil lisse,serré","noire, marron foncé ou mélangée gris-noir, avec des taches feu jaune-rouge très nettement délimitées au-dessus des yeux, au museau, à la poitrine et aux membres.Masque clair ou foncé admis à égalité; de petites taches blanches au poitrail et sur les doigts sont tolérées.","allongée, légèrement en forme de coin, pas pointue.Le museau est un peu plus court que le crâne.","foncés, petits, ovales, bien enchâssés dans les orbites à l'abri de tout traumatisme;les paupières épousent bien la forme du globe oculaire; expression déterminée.","semi-tombantes en léger contact avec la tête, attachées haut, pas spécialement petites, en forme de ""V"".","bien attachée en faisant suite à la longue croupe, raccourcie d'environ un tiers. Portée de préférence un peu moins relevée plutôt que droite, mais jamais inclinée sur le dessus ; dans les pays où la loi interdit la caudectomie, la queue naturelle est admise, elle devrait être portée en position horizontale ou légèrement en forme de sabre.",grand chasseur mais fort caractère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien d'élan suédois,https://fr.wikipedia.org/wiki/Chien_d%27%C3%A9lan_su%C3%A9dois,Suède,"Taille idéale : 61 cm (M), 56 cm (F)",,"Poil de couverture bien couché, sous-poil court et doux.",Gris clair et gris foncé.,,"De forme légèrement ovale, couleur brune.","Attachées haut, pointues, dressées.","Attachée haut, de longueur moyenne et enroulée sur le dos.","Courageux, énergique et impassible.",,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Épagneul japonais,https://fr.wikipedia.org/wiki/%C3%89pagneul_japonais,,30 cm,,"longs, raides",noir et blanc ou roux et blanc,grosse au crâne large et au museau court,grands de couleur noire,en forme de « V » qui tombe,recourbée et repose sur le dos,"équilibré, franc, doux, docile, joueur, sociable, intelligent, obéissant (si bonne éducation), volontaire, attachant n'aboie presque pas.","deux catégories de poids : les + de 4 kg et les - de 4 kg, trapue et robuste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai,https://fr.wikipedia.org/wiki/Kai_(chien),Japon,"53 cm (M), 48 cm (F)",,"Ras, avec un sous-poil dense.","Bringé noir, bringé rouge ou bringé",,"Petits, brun foncé, quasi-triangulaires.","Triangulaires, longues pour une race japonaise.",En faucille ou recourbée sur le dos. Fournie.,Très éveillé.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger bulgare,https://fr.wikipedia.org/wiki/Berger_bulgare,Bulgarie,63 à 78cm,42 à 72 kg,,"à pois, deux ou trois couleurs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien d'ours de Carélie,https://fr.wikipedia.org/wiki/Chien_d%27ours_de_Car%C3%A9lie,Finlande,"57 cm (M), 52 cm (F)","27 à 30 kg (M), 19 à 22 kg (F)",Poil de couverture lisse et raide avec sous-poil doux et dense.,Noire avec ou sans marques blanches.,Face triangulaire.,"Relativement petits, de forme ovale, couleur brun.","Dressées, de grandeur moyenne, avec les extrémités légèrement arrondies.","Attachée haut, de longueur moyenne, recourbée en arc au-dessus du dos.","Équilibré, un peu réservé, courageux et persévérant.",,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karelo-Finnish Laika,https://en.wikipedia.org/wiki/Karelo-Finnish_Laika,,,,,,,,,,,,,,Karelia region of Finland & Russia,,,,Not recognised as a breed by any major kennel club .,38–50 cm (15–20 in),14–16 kg (31–35 lb),"Solid red, occasionally fawn or black with some white markings",,,,Thick double coat,,,,,,,,,,,,,,,,,,,,,Finnish Spitz,,,,,,,,
Berger du Karst,https://fr.wikipedia.org/wiki/Berger_du_Karst,Slovénie,54 à 63,,"Bien fournit, long, plat, avec un sous poil abondant","Gris fer; vers le ventre et les pieds, gris clair couleur sable, avec une bringeure gris foncé sur la partie antérieure des membres. Masque foncé à la tête, entouré de poils gris-beige","ni fine ni grossière, large au niveau des oreilles et s’amenuise insensiblement vers le nez, stop modérément marqué, sans transition brusque","ni saillants ni enfoncés, en amande, de couleur châtain à marron foncé","Pendantes, attachées modérément haut, en forme de V","Large à sa base, en forme de sabre, de longueur moyenne, touffue, ne doit pas former de panache","bon caractère, courageux et vaillant. gardien incorruptible.",27 à 44 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrier Kerry Blue,https://fr.wikipedia.org/wiki/Terrier_Kerry_Blue,Irlande,"45,5 à 49,5 cm (M), 44,5 à 48 cm (F).",15 à 18 kg .,"Long, doux, abondant et ondulé.",Bleue.,"Crâne fort, stop léger, museau de longueur moyenne.","De taille moyenne, de couleur foncé ou de couleur noisette foncé.","De petite taille, portées vers l'avant.","Bien attachée, portée gaiement.","Vif, courageux.","Chien de terrier de taille moyenne à grande, d'aspect compact et gracieux.","Chien de compagnie , aptitudes pour la garde .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Charles Spaniel,https://fr.wikipedia.org/wiki/King_Charles_Spaniel,,25 à 30 cm,,"long, soyeux et droit.","Noir et feu, rubis, blenheim et tricolore","Crâne volumineux par rapport à la taille, bien en dôme, bien rempli dans la région sus-orbitaire. Stop bien marqué.","Très grands et sombres, bien écartés.","Attachées bas, elles pendent tout à fait à plat contre les joues, très longues et bien frangées.",La caudectomie est facultative. elle n'est pas portée sur le dos ni au-dessus de la ligne du dos,"Heureux de vivre, intelligent,réservé, doux et affectueux. Régions: Royaume-Uni, France","de 3,6 kg à 6,3 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kishu,https://fr.wikipedia.org/wiki/Kishu_(chien),Japon,"52 cm (M), 46 cm (F)",,"Ras et droit, avec un sous-poil dense.","Blanc, rouge et sésame.",,"Petit, de forme quasi-triangulaire, de couleur brun.",Triangulaire,Enroulée sur le dos ou en forme de faucille.,"Fidèle, docile et éveillé.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komondor,https://fr.wikipedia.org/wiki/Komondor,Hongrie,minimum 70 cm pour les femelles et 80 cm pour les mâles,environ 60 kg et plus pour les femelles et 80 kg ou plus pour les mâles,cordé,blanche/ivoire,,,,,très protecteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kooikerhondje,https://fr.wikipedia.org/wiki/Kooikerhondje,Pays-Bas,35 à 45 cm au garrot,10 à 15 kg.,"longueur moyenne, légèrement ondulé",orange à rouge plus ou moins clair ou foncé,"assez large, un peu bombé",en amande,tombantes garnies de poils soyeux,"horizontale, jamais recourbé","enjoué, débordant de vitalité, gai , joueur et attaché à son maître",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jindo coréen,https://fr.wikipedia.org/wiki/Jindo_cor%C3%A9en,Corée du Sud,"50 à 55 cm (M), 45 à 50 cm (F)","18 à 23 kg (M), 15 à 19 kg (F)",Sous-poil doux soutenant le poil de couverture.,"Fauve rouge, blanche, noire, noir et feu, gris-loup ou bringée.",,Petit et en amande.,"Triangulaire, dressée.",En faucille ou enroulée sur le dos.,"Hardi, vigilant, attentif et fidèle à son maître.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kromfohrländer,https://fr.wikipedia.org/wiki/Kromfohrl%C3%A4nder,,38 à 46 cm,,Lisse ou dur,Blanche avec de grandes taches de nuance feu ou fauve,"Les oreilles sont de forme triangulaire, arrondies à leur extrémité, bien accolées aux joues et très mobiles.","Grandeur moyenne, couleur marron foncé.",,Non coupée et de longueur moyenne. Portée en forme de sabre.,"Chien d’accompagnement et de famille plein de tempérament et facile à éduquer ; il se met aisément en accord avec son milieu, mais est réservé avec des tiers. Son instinct de chasse est plutôt faible.",environ 15 kg (indicatif),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuvasz,https://fr.wikipedia.org/wiki/Kuvasz,,66-76 cm,37-62 kg,ondulé,blanc pur ou ivoire,allongée,foncé,repliées et tombant près de la tête,longue,Fidèle et prudent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyi-Leo,https://de.wikipedia.org/wiki/Kyi_Leo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poodle crossbreed,https://en.wikipedia.org/wiki/Poodle_crossbreed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labrador retriever,https://fr.wikipedia.org/wiki/Labrador_retriever,Canada Royaume-Uni,"54 à 56 cm (F), 56 à 57 cm (M)",30 à 35 kg,"Court, épais et dense.","Noire, chocolat (foie-chocolat) ou sable (du blanc crème au fox red) conformément au standard de race. Les couleurs silver, charcoal, champagne, yellow liver sont présentes mais non standard.","Large, au stop marqué. Cou et mâchoires solides et puissants.","Légèrement en amandes, de couleur marron ou noisette.","Tombantes, attachées en arrière.","Longueur moyenne, au poil très épais (trait distinctif).","Doux, intelligent, docile. Passion pour l'eau. Très bon flair.",,"Chien de chasse , Chien de compagnie , Chien de travail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien d'eau romagnol,https://fr.wikipedia.org/wiki/Chien_d%27eau_romagnol,Italie,"43 à 48 cm pour les mâles, 41 à 46 cm pour les femelles","15 à 18 kg pour les mâles, 13 à 16 kg pour les femelles","Frisé sur tout le corps, texture laineuse","Unicolore : Blanc cassé, marron, rouan. Bicolore : blanc et orange, blanc et marron, rouan et marron",,,"Tombantes, de forme triangulaire","Courte, forme de sabre au repos","Docile, éveillé, affectueux, attaché à son maître.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland Terrier,https://fr.wikipedia.org/wiki/Lakeland_Terrier,Angleterre,"37 cm au garrot maximum. 7,7 kg pour les mâles, 6,8 kg pour les femelles.",,"Dense et résistant aux intempéries, dur avec un bon sous-poil.","Noir et feu, bleu et feu, rouge, froment, rouge grisonné, marron (foie), bleu ou noir. De petites touches de blanc aux pieds et au poitrail sont admises, mais non recherchées. L’acajou et le fauve soutenu ne sont pas des couleurs typiques.",,Couleur foncée ou noisette. Les yeux disposés obliquement sont un défaut.,"Petites mais sans exagération, en forme de V. Elles sont portées crânement. Elles ne sont attachées ni trop haut ni trop bas.","Auparavant la coutume était d’écourter la queue. Queue coupée : Bien attachée, portée gaiement mais pas sur le dos ni enroulée. Queue non coupée : Bien attachée, portée gaiement mais pas sur le dos ni enroulée. Elle est proportionnée au reste du corps.","Gai et intrépide ; expression de vivacité ; rapidité de mouvement ; toujours en éveil. Hardi, amical et sûr de lui.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
